engagementRate,uniqueActors,uniqueViewers,engagements,impressions,URL
0,0,0,40,0,https://blog.kinaxis.com/2018/10/unparalleled-customer-affinity-on-full-display-at-kinexions-18/
0,0,0,40,0,https://capco.com/about%20us/press%20releases/capco%20energy%20solutions%20joins%20the%20mulesoft%20partner%20program
0,0,0,30,0,https://dailyorange.com/2018/10/vpa-alumnus-kevin-chernett-will-share-career-live-nation-lecture/
0,0,0,40,0,https://fearlessinfintech.com/wp-content/uploads/2018/10/Fearless-in-Fintech-SummitV9-sm.pdf
0.147058824,50,340,40,300,https://fortune.com/2018/10/18/future-50-workday-aneel-bhusri/
0.25,30,120,40,100,https://heartandmindstrategies.com/carol-gstalder-former-president-harris-insights-analytics-reputation-management-joins-heartmind-strategies/
0,0,0,50,80,https://inservice.ascd.org/think-sel-takes-too-much-time-integrate-it/
0,0,0,40,140,https://insurancethoughtleadership.com/the-connected-world-how-it-changes-claims/
0,0,40,60,120,https://my.siop.org/Meetings/Leading-Edge-Consortium/2018-LEC
0,0,60,60,120,https://newsroom.hilton.com/corporate/news/hilton-ranks-second-in-the-worlds-best-workplaces
0,0,80,30,80,https://nypost.com/2018/05/11/ups-new-trucks-look-straight-out-of-a-pixar-movie/
0.166666667,30,180,30,160,https://playground.tensorflow.org
0.166666667,40,240,30,280,https://recruitingtrends.com/why-td-bank-is-excited-about-predictive-hiring/
0,0,120,30,120,https://social.techcrunch.com/2018/10/15/vinli-launches-mobility-data-platform-signs-partnership-with-ald-automotive/
0,0,0,40,0,https://us.smh.re/32j
0.227272727,100,440,100,520,https://www.businessinsurance.com/article/20181104/NEWS06/912324892/Business-Insurance-2018-Innovation-Awards
0,0,0,40,0,https://www.charlotteworks.com/events/danielle-frazier-to-lead-charlotte-works/
0.14516129,90,620,100,720,https://www.cio.in/media-releases/accenture-buys-oracles-cloud-partner-daz-systems
0,0,0,30,0,https://www.hansmumm.com/new-book-release-unmanned-aircraft-systems-uas-in-the-cyber-domain-protecting-usas-advanced-air-assets/
0,0,0,40,0,https://www.mayerbrown.com/Missiles-Malware-and-Merger-Management-Why-Cybersecurity-and-Data-Privacy-Matter-to-MA-PractitionersPart-IV-10-24-2018/
0.454545455,100,220,280,340,https://www.riskusa.com/workshop-1-model-risk
0,0,0,60,0,https://www.scmfocus.com/erp/2018/08/28/is-it-right-to-lead-clients-into-sap-software-failure/
0,0,0,30,0,https://www.thefeedpodcast.com/episodes/restaurant-music/
0,0,0,50,0,https://9to5mac.com/2018/10/28/the-state-of-apple-in-the-enterprise-in-2018/
0,0,120,40,60,https://ai.google/social-good/impact-challenge/
0.1,40,400,30,520,https://arstechnica.com/gadgets/2018/10/microsofts-problem-isnt-shipping-windows-updates-its-developing-them/
0,0,0,100,0,https://avasant.com/events/avasant-empowering-beyond-symposium-dc-2018/
0,0,0,30,0,https://aws.amazon.com/blogs/publicsector/from-deserts-to-the-battlefield-aws-snowball-edge-brings-technology-to-the-tactical-edge/
0.032608696,30,920,120,920,https://blog.aboutamazon.com/working-at-amazon/our-pledge-to-amazons-workers
0.2,40,200,110,260,https://blog.atomicreach.com/email-marketing-influencers
0,0,80,60,100,https://blog.noodle.ai/3-women-leading-data-science-projects-at-noodle-ai
0,0,40,30,0,https://blog.pulumi.com/building-a-future-of-cloud-engineering
0,0,0,30,0,https://careers-dhgllp.icims.com/jobs/5842/data-visualization-developer/job?mobile=true&needsRedirect=false
0,30,0,40,0,https://careers.microsoft.com/us/en/job/524235/Regional%20Leader%20-%20Retail%20Industry
0,0,0,60,0,https://careers.perspecta.com/job/chantilly/vice-president-human-resources/23101/8760548
0,0,0,40,0,https://chatbotsmagazine.com/how-to-become-a-conversation-designer-and-make-chatbots-and-voice-assistants-more-helpful-natural-e7f9a963b366?gi=859c4d5a6456
0,0,0,70,0,https://cib.societegenerale.com/en/our-views/viewpoints/viewpoint/news/bringing-legacy-investment-banks-into-the-digital-world/
0,0,440,100,500,https://cloudonair.withgoogle.com/events/data-ai
0,0,40,30,100,https://corporate.gapinc.com/en-us/articles/2018/gap-inc-legal-team-wins-national-award-for-diversi
0.75,30,40,40,80,https://deloitte.wsj.com/cio/2018/10/28/gallo-cio-on-making-wine-the-digital-way/
0,0,80,40,80,https://developers.google.com/machine-learning/crash-course/
0,0,0,30,0,https://edtechmagazine.com/higher/article/2018/10/network-solutions-help-higher-ed-cios-secure-and-simplify
0,0,0,30,0,https://en.prnasia.com/releases/apac/lee-hecht-harrison-named-vanguard-leader-in-talent-leadership-consulting-by-alm-intelligence-225605.shtml
0,0,80,40,0,https://eng.uber.com/michelangelo-pyml/
0,0,0,30,0,https://evolllution.com/managing-institution/operations_efficiency/aligning-college-and-careers-working-with-industry-to-shrink-the-skills-gap/
0,0,0,40,0,https://foodtank.com/news/2018/06/nourished-planet-big-food-advertising/
0,0,100,30,120,https://github.com/brohrer/academic_advisory
0,0,40,30,40,https://go.forrester.com/what-it-means/ep89-nationwide-innovation/
0.092592593,100,1080,120,1120,https://hbr.org/2018/07/collaborative-intelligence-humans-and-ai-are-joining-forces
0.090909091,60,660,100,780,https://hbr.org/2018/07/the-biggest-obstacles-to-innovation-in-large-companies
0.105263158,40,380,80,480,https://hbr.org/2018/07/the-democratization-of-data-science
0.063829787,60,940,170,960,https://hbr.org/2018/10/dont-just-tell-employees-organizational-changes-are-coming-explain-why
0.14,70,500,130,800,https://hbr.org/2018/10/help-your-team-understand-what-data-is-and-isnt-good-for
0,0,140,50,280,https://hbr.org/2018/10/how-a-pharma-company-applied-machine-learning-to-patient-data
0.06,30,500,100,400,https://hbr.org/2018/10/how-lilly-is-getting-more-women-into-leadership-positions
0,0,140,30,160,https://hbr.org/2018/10/how-we-teach-digital-skills-at-pwc
0,0,0,60,60,https://hbr.org/2018/10/managing-a-data-science-team
0.044444444,40,900,120,1080,https://hbr.org/2018/11/how-to-sell-new-products
0,0,0,30,0,https://hbrascend.org/topics/why-more-mbas-should-buy-small-businesses/
0.3,60,200,140,340,https://heidrick.mediaroom.com/2018-11-05-Heidrick-Struggles-Takes-Action-with-Board-Diversity-Pledge-Globally
1,60,60,100,80,https://homeland-security.cioreview.com/cxoinsight/overcoming-the-cybersecurity-talent-shortage-nid-27200-cid-186.html
0.083333333,30,360,60,380,https://ideas.ted.com/how-working-less-could-solve-all-our-problems-really/
